pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1611	5950	3825	3570	2303	1832	1186	872	572	237	208	42	8
home---secondary	4084	4954	1058	417	480	631	666	736	746	683	545	561	2991
home---work	11759	11856	2952	1389	1187	1270	1436	1466	1577	1455	1300	1225	4470
pt interaction---home	1585	5890	3898	3578	2271	1729	1191	922	585	237	230	40	10
pt interaction---pt interaction	25886	40641	4801	1320	842	537	466	314	43	25	1	0	0
pt interaction---secondary	2274	2750	1272	865	615	478	200	78	40	49	31	2	0
pt interaction---work	2830	4179	2148	1631	1383	1067	217	36	24	22	25	0	0
secondary---home	3976	4891	1300	399	467	613	650	738	747	683	550	550	2977
secondary---pt interaction	2336	2865	1121	855	623	488	170	82	36	50	37	2	0
work---home	10188	12549	3378	967	1286	1821	1664	1510	1600	1463	1293	1229	4455
work---pt interaction	2848	4152	2035	1602	1565	988	228	20	19	18	26	0	0

average leg duration: 1007.1928286686285 seconds = 00:16:47
