pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	811	2872	1898	1763	1185	1035	659	551	321	137	133	22	9
home---secondary	287	404	324	624	914	1309	1560	1802	1887	1913	1610	1580	8993
home---work	895	1125	769	1291	2292	3076	3723	4116	4495	4468	4001	3794	15462
pt interaction---home	817	2812	1914	1805	1140	967	657	601	336	127	146	21	12
pt interaction---pt interaction	16003	22867	1966	27	3	1	1	0	0	0	1	0	0
pt interaction---secondary	1019	1224	645	422	283	214	100	35	17	21	17	2	0
pt interaction---work	1608	2221	1194	888	719	543	157	27	12	14	14	0	0
secondary---home	308	371	339	619	913	1308	1559	1809	1888	1914	1614	1579	8986
secondary---pt interaction	1060	1297	570	406	282	215	77	37	13	20	20	2	0
work---home	918	1057	817	1294	2299	3077	3728	4126	4508	4472	4000	3792	15460
work---pt interaction	1569	2280	1121	855	828	502	152	13	9	13	14	0	0

average leg duration: 2226.1803571428572 seconds = 00:37:06
