pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1963	6650	4186	3664	2353	1797	1208	878	561	215	248	41	8
home---secondary	4173	5215	1020	483	498	600	610	650	632	592	506	490	2409
home---work	12359	12416	2832	1248	1268	1301	1407	1353	1370	1286	1089	1015	3516
pt interaction---home	1913	6595	4282	3661	2323	1698	1222	928	575	215	268	39	11
pt interaction---pt interaction	27915	43635	4849	1873	866	484	466	222	5	2	0	0	1
pt interaction---secondary	2543	2978	1374	921	622	486	198	96	33	40	35	2	0
pt interaction---work	3151	4569	2339	1679	1331	1032	233	30	27	27	26	0	0
secondary---home	3981	5117	1324	463	498	607	615	649	632	592	509	485	2403
secondary---pt interaction	2621	3123	1177	919	618	504	158	105	26	38	40	2	0
work---home	10504	13043	3392	1083	1552	1779	1494	1367	1399	1294	1094	1008	3496
work---pt interaction	3261	4500	2218	1605	1504	1000	217	20	22	23	29	0	0

average leg duration: 917.4808032698284 seconds = 00:15:17
