pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2460	7808	4098	3200	1828	1339	874	626	362	135	161	28	6
home---secondary	5038	6481	1444	718	583	401	364	373	338	272	186	174	768
home---work	12317	12310	5619	3417	2920	1720	1447	1176	720	553	440	376	1030
pt interaction---home	2389	7778	4177	3190	1799	1262	875	662	369	136	178	26	7
pt interaction---pt interaction	25994	38094	5044	2237	1331	512	340	262	289	157	32	2	7
pt interaction---secondary	2999	3340	1448	851	578	460	201	86	32	38	32	1	0
pt interaction---work	3375	4571	1951	1205	868	657	165	17	12	16	22	0	0
secondary---home	4791	6468	1904	645	517	388	327	364	347	270	197	176	764
secondary---pt interaction	3066	3470	1269	827	591	477	158	91	26	36	36	1	0
work---home	10300	14762	6580	3464	2047	1181	955	850	940	967	636	394	1028
work---pt interaction	3485	4484	1828	1198	975	613	158	13	12	12	22	0	0

average leg duration: 721.1604993513566 seconds = 00:12:01
