pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1736	6108	3993	3705	2378	1951	1303	931	616	262	246	43	8
home---secondary	3511	4195	905	420	541	693	746	780	858	786	678	635	3611
home---work	10346	10373	2585	1049	1214	1412	1698	1693	1805	1758	1521	1423	5594
pt interaction---home	1702	6052	4104	3726	2355	1822	1298	993	636	257	267	42	11
pt interaction---pt interaction	26410	42826	5150	1609	995	1046	434	158	277	144	3	1	0
pt interaction---secondary	2352	2781	1322	897	625	486	206	82	34	38	23	1	0
pt interaction---work	2934	4448	2397	1739	1429	1102	270	42	23	24	25	0	0
secondary---home	3404	4124	1135	417	517	671	732	780	858	784	677	629	3593
secondary---pt interaction	2453	2920	1149	881	625	504	172	86	29	36	29	1	0
work---home	9122	10717	2915	1004	1601	1581	1729	1721	1840	1767	1518	1425	5583
work---pt interaction	3004	4418	2256	1708	1615	1016	273	27	18	21	25	0	0

average leg duration: 1101.6829091478398 seconds = 00:18:21
