pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1580	5715	3620	3322	2168	1717	1144	840	544	236	210	39	5
home---secondary	4399	5171	1121	449	483	572	647	673	678	621	560	522	2783
home---work	11876	11587	3539	2054	1641	1478	1439	1329	1449	1394	1137	1107	4261
pt interaction---home	1546	5658	3693	3352	2136	1600	1144	882	575	236	232	39	6
pt interaction---pt interaction	23857	37762	4922	1561	1087	608	601	420	360	366	174	183	2
pt interaction---secondary	2252	2732	1276	829	604	468	191	73	34	41	25	2	0
pt interaction---work	2529	3879	2073	1549	1281	1005	198	32	21	19	27	0	0
secondary---home	4208	5161	1404	426	461	547	626	680	672	627	560	520	2771
secondary---pt interaction	2347	2832	1116	823	609	484	150	81	27	40	32	2	0
work---home	9792	12375	4200	1568	1479	1498	1684	1678	1621	1686	1322	1161	4284
work---pt interaction	2561	3883	1962	1497	1440	934	197	22	15	18	27	0	0

average leg duration: 1012.6992690234522 seconds = 00:16:52
