pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1030	3569	2352	2133	1360	1076	711	520	305	120	123	21	3
home---secondary	5337	6334	1381	636	629	650	642	679	690	630	518	497	2776
home---work	10875	12000	4502	3172	2946	2487	1811	1624	1743	1836	1518	1263	3611
pt interaction---home	1017	3512	2402	2176	1336	992	725	552	313	119	138	23	4
pt interaction---pt interaction	14514	21608	2500	1246	949	751	483	491	478	250	262	464	814
pt interaction---secondary	1538	1831	909	574	408	298	133	50	28	22	16	0	0
pt interaction---work	1527	2282	1205	931	807	574	137	18	7	12	16	0	0
secondary---home	5327	6521	1698	498	515	562	592	626	648	600	530	498	2759
secondary---pt interaction	1629	1884	800	562	414	321	101	56	23	24	18	0	0
work---home	9557	10889	5370	3204	2597	2237	2081	1627	1576	1617	1742	1833	5097
work---pt interaction	1543	2285	1136	904	902	531	134	10	7	9	16	0	0

average leg duration: 1155.7645809515068 seconds = 00:19:15
