pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1603	5794	3822	3445	2334	1970	1301	969	620	266	276	31	7
home---secondary	781	999	406	557	783	1103	1304	1473	1505	1463	1226	1238	6952
home---work	2359	2613	879	1144	1994	2503	3030	3242	3458	3398	3028	2858	11376
pt interaction---home	1572	5780	3828	3468	2284	1861	1300	1043	637	258	303	31	9
pt interaction---pt interaction	26133	42867	5282	1033	466	129	127	215	90	67	7	1	1
pt interaction---secondary	1983	2270	1121	774	522	407	184	58	28	40	26	3	0
pt interaction---work	3150	4556	2449	1830	1514	1103	300	46	27	19	28	0	0
secondary---home	753	968	471	559	781	1107	1299	1477	1506	1468	1225	1232	6933
secondary---pt interaction	2071	2418	947	750	528	395	157	67	23	37	31	3	0
work---home	2436	2403	1014	1145	2013	2503	3030	3267	3485	3409	3032	2859	11361
work---pt interaction	3161	4610	2285	1780	1707	1021	289	29	19	17	29	0	0

average leg duration: 1616.6670858524787 seconds = 00:26:56
