pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1370	4727	3023	2831	1777	1367	849	615	391	151	159	30	9
home---secondary	2783	2221	489	368	371	377	376	361	360	331	266	264	1536
home---work	6691	7191	3217	1917	1558	1004	1157	1012	1414	1315	1699	1945	12531
pt interaction---home	612	1917	1095	1111	731	349	344	423	183	78	54	3	3
pt interaction---pt interaction	9197	14526	1895	800	475	479	763	992	552	567	617	553	4495
pt interaction---secondary	1607	1914	839	466	245	210	59	9	11	19	12	1	0
pt interaction---work	1808	2685	1385	944	776	623	159	19	11	10	18	0	0
secondary---home	2491	1966	477	270	315	324	316	307	290	278	224	194	1076
secondary---pt interaction	1633	1934	813	451	262	235	58	10	10	16	15	1	0
work---home	3592	2952	1492	954	1115	1079	1134	777	801	1007	885	746	3479
work---pt interaction	1841	2659	1297	936	853	590	150	14	11	7	18	0	0

average leg duration: 1703.542235525164 seconds = 00:28:23
