pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	609	2339	1585	1440	943	834	564	456	258	101	97	18	7
home---secondary	248	393	324	636	929	1339	1605	1854	1923	1964	1658	1638	9292
home---work	850	1119	766	1304	2343	3153	3808	4287	4605	4654	4162	3937	16068
pt interaction---home	615	2294	1610	1450	915	794	547	501	270	97	109	14	10
pt interaction---pt interaction	13355	18929	1665	30	0	2	0	0	0	0	0	0	0
pt interaction---secondary	898	1052	526	365	234	172	80	24	15	20	14	3	0
pt interaction---work	1244	1801	939	686	593	431	114	16	8	5	11	0	0
secondary---home	270	358	336	631	930	1338	1604	1862	1920	1966	1660	1640	9290
secondary---pt interaction	956	1090	451	352	240	170	65	25	12	20	17	3	0
work---home	910	1010	816	1304	2346	3156	3818	4290	4622	4652	4163	3934	16058
work---pt interaction	1256	1827	869	640	682	414	104	11	7	4	11	0	0

average leg duration: 2362.3173991063904 seconds = 00:39:22
