pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2389	7790	4020	3211	1825	1364	901	632	378	136	162	26	3
home---secondary	5081	6439	1451	704	561	427	352	405	338	274	197	189	796
home---work	12154	12444	5882	3284	2571	1917	1517	946	831	544	462	395	1112
pt interaction---home	2352	7719	4116	3225	1807	1274	900	683	383	141	174	24	5
pt interaction---pt interaction	26171	37860	5101	2168	1465	525	269	186	262	135	23	1	2
pt interaction---secondary	3003	3303	1411	870	569	471	183	83	31	38	29	1	0
pt interaction---work	3309	4537	2000	1220	892	655	168	16	11	16	21	0	0
secondary---home	4757	6528	1884	609	512	398	326	409	334	275	202	188	793
secondary---pt interaction	3080	3431	1241	844	584	485	143	88	26	35	33	1	0
work---home	10347	15003	6383	3340	1847	1161	1024	921	1025	873	655	405	1108
work---pt interaction	3444	4447	1885	1204	997	618	159	13	12	12	21	0	0

average leg duration: 725.1909432416293 seconds = 00:12:05
