pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2295	7528	4185	3417	1989	1537	1018	668	418	156	190	28	10
home---secondary	4886	6233	1349	599	541	463	459	467	425	333	248	224	1100
home---work	12981	13173	4708	2410	2211	1647	1315	859	748	718	562	519	1493
pt interaction---home	2238	7469	4257	3412	1970	1449	1032	705	431	157	207	27	12
pt interaction---pt interaction	26636	40874	5122	2009	1128	427	174	304	243	92	0	0	0
pt interaction---secondary	2869	3238	1443	860	601	487	199	82	36	39	23	2	0
pt interaction---work	3350	4654	2143	1368	1036	764	167	22	18	16	22	0	0
secondary---home	4648	6179	1765	536	503	457	441	484	423	334	253	223	1093
secondary---pt interaction	2901	3392	1277	845	617	485	164	88	30	40	26	2	0
work---home	10663	14929	6222	1798	1484	1225	1187	1263	1305	757	566	519	1487
work---pt interaction	3448	4584	2025	1338	1144	732	161	16	16	13	22	0	0

average leg duration: 749.9377127320791 seconds = 00:12:29
