pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2587	8012	3928	3024	1709	1238	866	587	344	126	148	19	7
home---secondary	5027	6662	1474	773	604	409	325	335	306	218	155	135	649
home---work	11312	12233	6184	3961	3128	2066	1390	1154	815	501	390	365	944
pt interaction---home	2524	7943	4022	3013	1709	1150	864	623	347	132	164	18	9
pt interaction---pt interaction	25547	36386	4920	2331	1591	448	310	216	195	93	30	10	2
pt interaction---secondary	3095	3383	1442	833	558	469	182	74	33	36	27	2	0
pt interaction---work	3439	4430	1876	1110	823	581	139	16	15	13	19	0	0
secondary---home	4820	6683	1934	638	545	365	311	324	312	218	160	131	642
secondary---pt interaction	3144	3524	1274	810	568	475	150	80	29	40	27	2	0
work---home	10057	14600	7170	3935	2369	1115	819	824	858	794	588	435	945
work---pt interaction	3532	4358	1758	1097	905	553	137	11	15	9	20	0	0

average leg duration: 710.3917179375779 seconds = 00:11:50
