pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2819	8381	3874	2865	1584	1139	779	528	328	113	141	20	7
home---secondary	4906	6589	1491	797	669	390	299	311	274	199	159	138	607
home---work	10615	11101	6410	4987	3640	2449	1491	1035	829	618	332	320	876
pt interaction---home	2740	8352	3992	2862	1576	1079	780	560	335	120	150	19	9
pt interaction---pt interaction	25519	34984	5016	2575	1644	605	363	178	74	52	15	14	1
pt interaction---secondary	3208	3551	1462	801	556	446	178	86	29	32	26	2	0
pt interaction---work	3555	4412	1757	1010	740	516	149	16	12	14	20	0	0
secondary---home	4655	6703	1963	660	560	358	274	291	266	201	159	138	599
secondary---pt interaction	3273	3696	1281	782	561	465	144	93	24	29	29	2	0
work---home	9645	14269	7810	4409	2569	1346	903	846	727	573	410	327	875
work---pt interaction	3697	4325	1660	1009	817	488	142	14	12	11	20	0	0

average leg duration: 705.2713774383641 seconds = 00:11:45
