pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1641	6015	3861	3602	2336	1870	1207	874	541	248	222	37	7
home---secondary	4003	4916	1036	435	500	639	681	736	748	679	575	582	2971
home---work	11709	11552	2892	1284	1205	1320	1481	1492	1561	1505	1316	1255	4576
pt interaction---home	1616	5949	3938	3611	2299	1752	1219	916	560	253	242	37	8
pt interaction---pt interaction	26136	41487	4803	1491	836	524	445	220	7	2	0	0	0
pt interaction---secondary	2303	2766	1307	856	624	465	196	82	35	47	22	2	0
pt interaction---work	2832	4203	2206	1698	1395	1073	242	44	25	17	21	0	0
secondary---home	3862	4834	1320	407	488	635	675	739	754	678	576	568	2957
secondary---pt interaction	2370	2901	1131	841	641	469	165	87	30	47	29	2	0
work---home	10057	12329	3290	944	1355	1843	1636	1526	1590	1511	1313	1263	4560
work---pt interaction	2861	4192	2081	1653	1561	1010	246	25	22	15	21	0	0

average leg duration: 1010.6369882919538 seconds = 00:16:50
