pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1956	6715	4212	3706	2353	1751	1183	873	560	226	234	38	8
home---secondary	4195	5229	1042	491	511	569	607	658	626	607	472	465	2343
home---work	12318	12396	2914	1391	1273	1273	1401	1358	1340	1301	1061	1012	3442
pt interaction---home	1912	6671	4317	3696	2313	1670	1191	931	569	230	256	36	12
pt interaction---pt interaction	27842	44143	5286	1455	847	537	434	150	0	2	0	0	1
pt interaction---secondary	2546	3004	1403	916	636	488	206	86	36	35	33	2	0
pt interaction---work	3163	4592	2319	1670	1308	1013	240	38	26	26	29	0	0
secondary---home	3971	5185	1338	456	508	574	606	658	627	608	473	461	2334
secondary---pt interaction	2641	3141	1217	904	633	507	164	99	30	31	38	2	0
work---home	10524	13471	3210	1018	1490	1795	1469	1370	1359	1309	1059	1008	3424
work---pt interaction	3274	4535	2212	1592	1481	985	222	23	20	23	31	0	0

average leg duration: 909.1204845280168 seconds = 00:15:09
