pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	865	3320	2236	2019	1319	1195	772	619	368	161	137	37	7
home---secondary	342	430	323	607	899	1277	1542	1768	1814	1862	1563	1530	8809
home---work	979	1236	799	1258	2273	3024	3642	3986	4374	4345	3885	3654	14834
pt interaction---home	885	3244	2259	2055	1290	1102	793	662	384	161	151	34	11
pt interaction---pt interaction	17941	25583	2259	55	2	1	0	0	0	0	1	0	0
pt interaction---secondary	1162	1396	703	465	296	223	109	33	14	23	14	2	0
pt interaction---work	1809	2659	1341	1062	858	623	181	30	17	14	21	0	0
secondary---home	325	419	350	611	900	1279	1539	1778	1815	1861	1566	1528	8801
secondary---pt interaction	1237	1452	594	451	298	220	93	37	10	24	16	2	0
work---home	1016	1167	830	1260	2278	3023	3643	3992	4394	4345	3888	3658	14813
work---pt interaction	1822	2692	1264	1011	984	582	174	20	11	15	22	0	0

average leg duration: 2124.1536968869195 seconds = 00:35:24
