pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1880	6520	4201	3889	2501	2061	1400	1027	631	292	284	33	8
home---secondary	2980	3543	771	443	546	723	841	881	908	890	734	698	4133
home---work	8794	9170	1683	883	1311	1635	1938	1994	2066	1974	1759	1625	6460
pt interaction---home	1838	6475	4290	3862	2495	1939	1399	1097	656	283	303	36	11
pt interaction---pt interaction	27517	46144	5801	1663	654	684	492	236	157	265	128	44	0
pt interaction---secondary	2402	2869	1396	935	642	498	210	72	30	35	26	0	0
pt interaction---work	3271	4736	2523	1882	1536	1227	298	56	32	25	26	0	0
secondary---home	2880	3470	980	439	539	706	825	887	913	888	735	689	4114
secondary---pt interaction	2520	3004	1200	911	665	504	168	80	25	34	30	0	0
work---home	8448	8930	2243	878	1324	1650	1946	2020	2106	1977	1760	1634	6445
work---pt interaction	3278	4784	2372	1819	1746	1143	296	33	22	23	27	0	0

average leg duration: 1166.0601228866417 seconds = 00:19:26
