pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2708	8185	3945	2956	1626	1146	819	546	321	122	150	20	8
home---secondary	4967	6653	1497	803	612	384	322	340	273	214	171	151	622
home---work	10934	11926	6042	4753	3331	2251	1386	968	905	535	343	323	852
pt interaction---home	2644	8141	4050	2954	1607	1073	812	578	325	125	161	19	10
pt interaction---pt interaction	25504	35906	5028	2409	1325	487	263	235	103	48	24	0	1
pt interaction---secondary	3169	3443	1408	801	559	454	177	82	33	38	31	2	0
pt interaction---work	3551	4436	1808	1069	759	538	132	18	11	15	18	0	0
secondary---home	4803	6676	1963	644	546	344	294	325	271	217	175	150	619
secondary---pt interaction	3205	3581	1245	786	571	458	145	88	28	37	33	2	0
work---home	9923	15052	7501	3736	2451	1150	851	870	773	655	417	354	851
work---pt interaction	3663	4361	1708	1062	827	515	132	12	9	13	18	0	0

average leg duration: 700.7967421399559 seconds = 00:11:40
