pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	688	2440	1701	1515	1011	872	600	467	270	112	116	22	5
home---secondary	278	374	322	628	915	1325	1595	1840	1923	1946	1668	1656	9228
home---work	868	1069	789	1287	2358	3105	3799	4224	4611	4602	4112	3878	15891
pt interaction---home	692	2396	1687	1547	986	821	592	512	287	108	132	20	7
pt interaction---pt interaction	13890	19843	1785	38	1	0	0	0	0	0	0	0	1
pt interaction---secondary	915	1109	539	367	244	178	78	24	19	20	13	2	0
pt interaction---work	1309	1943	1035	732	628	484	130	20	14	8	8	0	0
secondary---home	264	372	338	628	910	1324	1592	1843	1919	1948	1669	1655	9224
secondary---pt interaction	972	1163	455	363	251	178	59	27	15	21	14	2	0
work---home	872	1038	816	1288	2366	3110	3805	4238	4628	4600	4114	3883	15879
work---pt interaction	1317	1970	962	683	729	444	126	10	12	6	8	0	0

average leg duration: 2327.9218520574436 seconds = 00:38:47
