pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2666	8171	3978	2965	1641	1174	807	527	305	123	165	21	7
home---secondary	5018	6641	1491	790	621	388	288	323	298	229	169	117	625
home---work	10780	11688	5610	4891	3552	2217	1454	1097	975	677	362	342	917
pt interaction---home	2588	8154	4087	2952	1622	1114	810	564	307	124	176	19	9
pt interaction---pt interaction	25186	35977	4758	2482	1351	528	346	254	196	75	41	2	2
pt interaction---secondary	3168	3431	1437	818	556	455	172	73	37	33	26	2	0
pt interaction---work	3478	4452	1803	1073	786	552	144	13	8	12	21	0	0
secondary---home	4756	6752	1955	672	539	332	269	315	280	225	174	114	617
secondary---pt interaction	3240	3553	1267	809	550	467	139	87	30	33	29	2	0
work---home	10107	14870	7531	3553	2435	1130	806	774	819	722	505	409	923
work---pt interaction	3611	4354	1692	1087	862	529	137	8	10	9	21	0	0

average leg duration: 708.8139187469683 seconds = 00:11:48
