pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2532	7915	3984	3090	1742	1266	895	570	342	120	154	26	8
home---secondary	5067	6629	1467	749	586	401	319	364	317	219	182	148	714
home---work	11632	12119	5945	4282	3052	1769	1352	1146	667	566	400	386	988
pt interaction---home	2464	7855	4074	3095	1730	1194	891	615	346	125	168	24	11
pt interaction---pt interaction	25569	36758	4760	2304	1735	456	288	157	245	134	39	3	0
pt interaction---secondary	3063	3331	1432	843	562	445	191	78	31	37	29	2	0
pt interaction---work	3414	4443	1864	1193	848	619	154	17	15	17	16	0	0
secondary---home	4811	6694	1908	634	521	375	300	358	314	215	185	148	707
secondary---pt interaction	3130	3458	1270	817	554	461	165	84	27	36	32	2	0
work---home	10213	14998	6837	3602	2199	1078	895	776	889	883	541	447	989
work---pt interaction	3542	4331	1781	1174	942	580	152	10	16	13	16	0	0

average leg duration: 714.1188755666237 seconds = 00:11:54
