pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1970	6844	4517	4013	2641	2242	1476	1048	712	280	272	41	8
home---secondary	1804	2176	557	480	657	855	1005	1110	1185	1122	943	924	5308
home---work	5316	5653	1180	989	1649	2010	2418	2543	2675	2607	2318	2163	8399
pt interaction---home	1898	6801	4568	4069	2591	2107	1479	1113	756	269	300	40	11
pt interaction---pt interaction	28980	48439	6230	1288	697	639	748	250	93	142	251	98	21
pt interaction---secondary	2435	2778	1406	926	629	486	233	79	35	44	29	0	0
pt interaction---work	3521	5143	2755	2034	1706	1354	324	62	23	27	35	0	0
secondary---home	1741	2090	707	487	651	854	1001	1115	1188	1124	943	918	5293
secondary---pt interaction	2539	2942	1199	882	663	498	173	89	30	43	36	0	0
work---home	5493	5191	1460	998	1650	2018	2431	2563	2704	2610	2330	2168	8380
work---pt interaction	3571	5177	2583	1975	1894	1269	325	37	14	29	34	0	0

average leg duration: 1332.0108611704234 seconds = 00:22:12
