pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1736	6168	3990	3648	2312	1833	1215	914	585	233	234	41	6
home---secondary	3962	4980	1021	450	514	611	670	727	745	701	582	556	2832
home---work	11677	11640	2726	1165	1182	1358	1491	1489	1528	1503	1323	1255	4507
pt interaction---home	1703	6102	4082	3609	2297	1720	1224	984	597	230	255	41	10
pt interaction---pt interaction	26874	42827	5148	1354	750	416	354	73	3	0	0	0	0
pt interaction---secondary	2357	2808	1333	872	601	501	202	77	33	46	23	2	0
pt interaction---work	2956	4410	2266	1679	1362	1040	236	40	26	19	26	0	0
secondary---home	3861	4895	1246	436	506	607	663	725	748	700	582	549	2815
secondary---pt interaction	2426	2940	1163	856	621	511	169	84	27	44	30	2	0
work---home	10325	12331	2926	1006	1657	1514	1503	1520	1559	1508	1322	1259	4493
work---pt interaction	3000	4390	2123	1634	1517	996	233	23	22	16	27	0	0

average leg duration: 992.9440415644235 seconds = 00:16:32
