pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2435	7772	4126	3245	1838	1364	930	656	369	142	166	30	7
home---secondary	5029	6379	1421	691	548	441	377	405	333	270	220	171	823
home---work	12068	12554	5568	3294	2733	1848	1425	1110	687	596	447	407	1185
pt interaction---home	2361	7729	4220	3229	1821	1284	917	703	378	147	179	30	8
pt interaction---pt interaction	26060	38900	5184	2239	1386	477	289	250	250	139	12	2	0
pt interaction---secondary	3010	3373	1454	839	581	469	191	80	36	33	29	3	0
pt interaction---work	3332	4547	1997	1277	904	680	180	14	15	15	21	0	0
secondary---home	4695	6477	1845	602	501	410	358	400	344	271	228	171	821
secondary---pt interaction	3098	3471	1288	829	589	477	150	86	31	29	32	3	0
work---home	10345	15060	6632	3024	1684	1171	1006	922	1067	948	535	407	1180
work---pt interaction	3434	4497	1863	1243	1021	637	169	14	13	11	21	0	0

average leg duration: 727.9758302417321 seconds = 00:12:07
