pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1694	5772	3750	3511	2211	1765	1200	840	563	222	222	42	9
home---secondary	3997	4834	1036	469	503	639	685	703	707	699	566	578	3095
home---work	11282	11012	3296	1868	1604	1551	1543	1421	1547	1471	1260	1198	4745
pt interaction---home	1662	5721	3808	3518	2217	1635	1211	883	583	223	242	41	12
pt interaction---pt interaction	24208	39127	5293	1529	1189	809	637	477	348	355	321	86	10
pt interaction---secondary	2363	2709	1336	835	606	475	195	79	35	38	22	2	0
pt interaction---work	2644	4044	2195	1579	1295	1035	214	39	19	18	24	0	0
secondary---home	3916	4769	1287	427	476	613	663	704	714	702	572	571	3083
secondary---pt interaction	2451	2848	1150	814	613	488	160	88	30	36	29	2	0
work---home	9349	11596	3875	1431	1481	1710	1897	1634	1765	1775	1349	1234	4761
work---pt interaction	2725	4004	2062	1552	1459	951	212	28	16	14	24	0	0

average leg duration: 1055.6437592166785 seconds = 00:17:35
