pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2446	7752	4079	3221	1811	1341	914	622	368	140	154	33	7
home---secondary	5045	6475	1496	703	572	414	357	385	345	246	204	161	761
home---work	12077	12365	5802	3486	2706	1910	1442	1008	809	563	447	398	1045
pt interaction---home	2396	7713	4153	3211	1801	1256	915	664	376	140	174	30	9
pt interaction---pt interaction	26009	38062	5044	2307	1226	454	236	170	225	183	67	1	4
pt interaction---secondary	3002	3368	1404	840	574	478	196	84	32	35	28	1	0
pt interaction---work	3342	4542	1966	1207	900	653	161	23	12	19	21	0	0
secondary---home	4782	6511	1905	638	512	394	323	388	338	256	208	161	758
secondary---pt interaction	3061	3505	1230	818	584	496	155	90	26	34	32	1	0
work---home	10271	14872	6503	3483	1915	1142	969	877	917	1076	622	405	1046
work---pt interaction	3482	4433	1842	1201	1005	622	159	16	11	14	21	0	0

average leg duration: 720.9344988782151 seconds = 00:12:00
