pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2754	8254	3904	2869	1601	1170	797	520	319	116	157	22	8
home---secondary	5023	6687	1506	797	632	391	296	328	282	207	188	116	576
home---work	10791	11380	6012	4794	3653	2243	1485	1118	948	610	354	344	858
pt interaction---home	2672	8232	4020	2854	1591	1090	812	547	325	121	167	21	10
pt interaction---pt interaction	25270	35355	4908	2467	1355	444	333	342	138	85	18	0	0
pt interaction---secondary	3180	3431	1412	797	557	451	174	83	30	32	28	2	0
pt interaction---work	3521	4458	1772	1052	779	527	142	17	11	15	20	0	0
secondary---home	4785	6776	1987	666	548	339	285	302	266	205	190	116	574
secondary---pt interaction	3223	3565	1260	774	562	464	140	91	25	30	31	2	0
work---home	9786	14659	7724	3783	2647	1192	942	850	741	644	418	366	857
work---pt interaction	3669	4358	1666	1044	854	505	145	11	11	12	20	0	0

average leg duration: 704.224109507975 seconds = 00:11:44
