pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1959	6763	4503	4036	2696	2247	1474	1086	709	267	273	46	8
home---secondary	1744	2103	543	489	665	886	1012	1125	1188	1169	956	945	5349
home---work	5169	5482	1134	993	1642	2022	2422	2558	2688	2622	2347	2201	8589
pt interaction---home	1913	6709	4555	4110	2618	2117	1466	1158	750	260	301	46	10
pt interaction---pt interaction	28938	48083	6140	1309	738	757	788	207	107	117	258	208	44
pt interaction---secondary	2388	2817	1385	919	622	483	234	83	35	43	23	0	0
pt interaction---work	3547	5177	2793	2030	1698	1340	316	63	20	22	29	0	0
secondary---home	1668	2034	692	487	661	884	1005	1131	1191	1169	957	935	5333
secondary---pt interaction	2490	2965	1197	882	650	498	177	97	30	43	30	0	0
work---home	5310	5044	1423	1007	1649	2028	2433	2576	2712	2632	2360	2206	8570
work---pt interaction	3620	5185	2617	1964	1896	1252	317	38	13	24	28	0	0

average leg duration: 1345.722523815399 seconds = 00:22:25
