pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2428	7714	4183	3332	1916	1432	934	630	402	145	174	24	7
home---secondary	4951	6407	1412	646	561	420	406	420	363	284	219	193	868
home---work	12089	12703	5712	3153	2510	1793	1235	1061	648	609	470	449	1207
pt interaction---home	2343	7654	4279	3334	1892	1348	934	678	407	149	189	24	8
pt interaction---pt interaction	26618	39092	5080	2303	1384	495	202	257	261	124	4	0	0
pt interaction---secondary	2957	3334	1452	869	585	484	187	84	35	41	26	2	0
pt interaction---work	3409	4591	2024	1305	980	694	187	21	14	14	26	0	0
secondary---home	4673	6395	1861	589	513	393	389	420	372	286	219	188	867
secondary---pt interaction	3037	3448	1269	865	588	490	153	91	28	41	29	2	0
work---home	10475	15044	6685	2605	1546	1171	1014	1013	1150	862	484	450	1207
work---pt interaction	3504	4526	1920	1255	1091	661	184	10	13	9	25	0	0

average leg duration: 729.6294081211287 seconds = 00:12:09
