pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1369	4722	3020	2831	1779	1367	848	615	391	151	159	30	9
home---secondary	2836	2329	496	370	347	393	384	370	364	327	268	273	1540
home---work	6714	7210	3183	1901	1677	1010	1094	1046	1344	1424	1638	1956	12814
pt interaction---home	607	1901	1083	1097	723	347	344	420	184	78	55	3	4
pt interaction---pt interaction	9107	14430	1776	660	443	492	740	1050	639	619	685	738	4441
pt interaction---secondary	1614	1919	841	464	249	209	60	10	11	18	10	1	0
pt interaction---work	1803	2694	1394	963	801	633	159	19	11	10	18	0	0
secondary---home	2534	2022	480	282	296	337	323	312	292	281	219	191	1094
secondary---pt interaction	1636	1945	815	448	265	234	57	11	10	15	13	1	0
work---home	3583	2986	1455	946	1101	1039	1132	754	780	1010	845	765	3842
work---pt interaction	1837	2667	1307	952	884	595	150	14	11	7	18	0	0

average leg duration: 1743.824938665286 seconds = 00:29:03
