pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2443	7821	4075	3217	1840	1356	918	650	368	137	164	25	6
home---secondary	5034	6448	1425	712	549	433	380	408	330	264	211	180	772
home---work	12211	12509	5729	3263	2788	1795	1400	1091	622	554	450	421	1111
pt interaction---home	2381	7770	4179	3214	1824	1278	914	693	378	137	180	25	8
pt interaction---pt interaction	26230	38336	5070	2392	1396	460	269	189	271	161	27	0	0
pt interaction---secondary	3016	3314	1432	875	574	471	190	81	34	41	30	2	0
pt interaction---work	3299	4545	1989	1272	935	678	171	18	14	17	22	0	0
secondary---home	4755	6511	1848	601	501	404	357	403	336	268	216	180	772
secondary---pt interaction	3102	3430	1258	859	585	479	152	84	30	39	34	2	0
work---home	10252	14920	6772	3138	1736	1175	984	929	1001	1012	533	421	1104
work---pt interaction	3442	4459	1862	1255	1037	640	168	14	14	14	22	0	0

average leg duration: 723.1387956626139 seconds = 00:12:03
