pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1212	4400	2949	2738	1765	1551	1032	768	509	199	198	30	5
home---secondary	450	595	360	598	863	1195	1418	1637	1708	1683	1412	1428	8031
home---work	1208	1534	821	1214	2153	2854	3422	3692	4005	4006	3519	3410	13538
pt interaction---home	1211	4358	2957	2785	1741	1422	1039	828	523	197	216	29	6
pt interaction---pt interaction	22365	34276	3200	76	2	1	1	1	2	0	1	3	0
pt interaction---secondary	1538	1871	841	622	414	301	126	41	21	30	21	2	0
pt interaction---work	2480	3533	1783	1400	1140	848	247	40	20	16	21	0	0
secondary---home	432	590	385	597	858	1199	1415	1641	1712	1683	1416	1428	8022
secondary---pt interaction	1601	1960	740	597	411	292	109	44	16	32	24	2	0
work---home	1333	1366	859	1219	2164	2848	3420	3710	4049	4004	3517	3408	13523
work---pt interaction	2490	3565	1667	1359	1298	797	232	28	10	16	22	0	0

average leg duration: 1884.3529541580422 seconds = 00:31:24
