pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1963	6911	4177	3612	2361	1761	1167	832	518	210	226	36	8
home---secondary	4363	5450	1124	503	538	557	577	634	578	510	423	403	2029
home---work	12751	12783	3136	1535	1418	1303	1323	1263	1218	1191	932	862	2924
pt interaction---home	1913	6868	4253	3605	2320	1654	1185	889	526	217	247	35	11
pt interaction---pt interaction	27559	43592	4954	1486	980	698	471	102	1	1	0	0	1
pt interaction---secondary	2683	3015	1396	918	635	476	193	88	39	43	29	2	0
pt interaction---work	3216	4557	2339	1615	1273	953	215	28	20	20	29	0	0
secondary---home	4150	5365	1464	472	520	569	576	638	581	507	426	401	2021
secondary---pt interaction	2749	3169	1213	898	638	484	162	93	35	40	33	2	0
work---home	10402	14024	3952	1125	1515	1801	1449	1285	1243	1202	929	865	2905
work---pt interaction	3325	4494	2219	1552	1409	918	207	19	17	15	32	0	0

average leg duration: 869.0332577731164 seconds = 00:14:29
