pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1751	6396	4131	3820	2562	2127	1399	1060	655	272	267	47	8
home---secondary	1089	1367	433	513	750	1057	1158	1323	1378	1340	1150	1121	6337
home---work	3230	3566	968	1102	1823	2312	2828	2967	3147	3116	2739	2580	10221
pt interaction---home	1752	6276	4197	3880	2513	1975	1407	1120	682	272	295	46	12
pt interaction---pt interaction	27910	45910	6121	1121	872	560	135	100	157	137	58	88	23
pt interaction---secondary	2184	2550	1213	841	591	435	200	76	31	42	26	1	0
pt interaction---work	3438	5014	2592	1953	1617	1235	315	52	26	29	34	0	0
secondary---home	1067	1278	549	513	749	1053	1152	1330	1380	1341	1151	1117	6322
secondary---pt interaction	2262	2694	1036	815	595	442	177	85	24	41	32	1	0
work---home	3369	3249	1140	1104	1837	2319	2832	2988	3181	3121	2754	2582	10204
work---pt interaction	3494	5042	2420	1910	1799	1136	309	31	20	27	36	0	0

average leg duration: 1495.7027476076635 seconds = 00:24:55
