pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2731	8261	3910	2878	1614	1144	785	550	318	119	147	22	7
home---secondary	5039	6641	1480	804	627	402	315	330	277	209	170	130	612
home---work	10855	11135	5836	4993	3911	2208	1565	1104	705	638	453	323	862
pt interaction---home	2683	8198	4018	2867	1592	1082	792	575	327	123	158	21	9
pt interaction---pt interaction	25251	35476	4713	2351	1664	657	324	234	114	44	23	0	0
pt interaction---secondary	3147	3460	1420	803	549	449	170	78	32	34	26	2	0
pt interaction---work	3534	4493	1760	1036	750	542	135	18	11	16	21	0	0
secondary---home	4782	6745	1973	670	553	351	287	310	261	209	171	130	607
secondary---pt interaction	3195	3597	1252	782	563	460	133	85	27	32	29	2	0
work---home	9914	14894	7354	3677	2781	1284	823	827	723	655	456	360	868
work---pt interaction	3712	4360	1653	1030	839	505	134	12	10	12	21	0	0

average leg duration: 705.6201294357082 seconds = 00:11:45
