pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	974	3402	2229	2004	1313	1027	656	468	311	117	114	22	4
home---secondary	5369	6345	1399	603	609	642	662	703	717	668	530	485	2993
home---work	11082	12398	4407	3259	2983	2218	1796	1678	1829	1953	1449	1294	3398
pt interaction---home	961	3354	2284	2030	1283	958	664	501	315	118	127	21	7
pt interaction---pt interaction	14121	20539	2322	1157	818	682	572	464	304	200	399	143	671
pt interaction---secondary	1444	1729	832	541	394	300	128	50	24	23	14	2	0
pt interaction---work	1445	2223	1153	877	742	526	138	19	7	12	18	0	0
secondary---home	5410	6426	1717	498	505	576	600	662	686	644	537	482	2977
secondary---pt interaction	1496	1802	733	519	408	312	100	56	19	22	17	2	0
work---home	9732	11353	5505	3202	2798	2055	1908	1572	1682	1631	1875	1517	4937
work---pt interaction	1442	2256	1080	844	836	493	143	8	10	7	18	0	0

average leg duration: 1156.5446717766963 seconds = 00:19:16
