pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2796	8414	3894	2845	1551	1123	785	520	305	117	137	21	8
home---secondary	4896	6589	1500	819	652	381	286	318	255	205	174	146	603
home---work	10576	10863	6396	4759	4174	2591	1515	1044	719	536	407	358	832
pt interaction---home	2707	8353	4014	2841	1554	1050	784	555	317	113	150	22	10
pt interaction---pt interaction	25397	34857	5051	2451	1534	523	300	118	108	39	24	7	3
pt interaction---secondary	3276	3542	1424	792	557	455	168	74	28	37	27	2	0
pt interaction---work	3506	4442	1715	1029	716	533	131	13	13	14	22	0	0
secondary---home	4674	6711	1947	677	546	338	262	304	258	205	171	145	599
secondary---pt interaction	3335	3671	1254	775	563	473	129	82	23	32	30	2	0
work---home	9687	14429	7956	4358	2520	1374	963	746	687	552	370	329	832
work---pt interaction	3627	4351	1618	1013	794	512	130	9	13	12	22	0	0

average leg duration: 702.1537878413923 seconds = 00:11:42
