pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	393	1583	1093	1026	656	577	406	346	199	75	68	7	3
home---secondary	257	357	327	636	936	1363	1667	1909	1992	2047	1723	1700	9725
home---work	776	1000	771	1315	2400	3238	3961	4458	4848	4880	4365	4088	16939
pt interaction---home	383	1555	1111	1041	649	542	402	375	211	72	73	7	4
pt interaction---pt interaction	9626	13845	1224	30	0	0	0	0	0	0	0	0	0
pt interaction---secondary	678	835	389	268	162	124	44	24	10	17	13	3	0
pt interaction---work	791	1187	609	463	413	294	81	7	6	8	6	0	0
secondary---home	264	334	344	635	939	1367	1666	1912	1992	2047	1728	1696	9720
secondary---pt interaction	736	835	337	265	171	117	36	20	9	20	13	3	0
work---home	780	953	815	1317	2402	3232	3964	4462	4847	4878	4366	4090	16935
work---pt interaction	806	1193	590	422	468	285	78	4	5	6	6	0	0

average leg duration: 2572.733321347703 seconds = 00:42:52
