pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2649	8089	4046	2960	1641	1183	821	555	332	121	155	23	6
home---secondary	4997	6641	1495	798	631	387	320	336	294	242	171	141	608
home---work	11124	11514	5864	4900	3400	2168	1441	990	926	556	337	340	908
pt interaction---home	2575	8059	4132	2945	1644	1107	820	587	337	123	165	23	8
pt interaction---pt interaction	25441	35298	4670	2623	1813	559	348	263	206	55	23	0	1
pt interaction---secondary	3139	3403	1433	802	546	470	175	81	30	37	27	2	0
pt interaction---work	3488	4486	1824	1088	799	548	150	15	8	12	18	0	0
secondary---home	4757	6712	1966	660	563	346	291	332	286	245	173	139	600
secondary---pt interaction	3207	3526	1258	782	561	481	135	93	25	36	30	2	0
work---home	9991	14393	7410	3930	2556	1236	872	859	817	716	468	358	909
work---pt interaction	3599	4386	1730	1097	866	520	147	9	9	8	18	0	0

average leg duration: 710.7026237940314 seconds = 00:11:50
