pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1904	6752	4478	4110	2627	2214	1520	1078	706	287	274	42	8
home---secondary	2086	2606	616	473	610	824	945	1072	1092	1070	898	852	4881
home---work	6237	6675	1289	961	1550	1914	2286	2370	2408	2476	2170	1978	7771
pt interaction---home	1854	6688	4555	4108	2594	2088	1513	1142	735	290	293	47	10
pt interaction---pt interaction	28524	48172	6299	1330	816	700	681	273	79	116	331	134	10
pt interaction---secondary	2448	2865	1389	944	653	483	225	80	27	41	25	1	0
pt interaction---work	3449	5174	2740	1970	1666	1346	329	54	31	25	35	0	0
secondary---home	2059	2481	782	473	608	825	932	1083	1097	1070	899	845	4863
secondary---pt interaction	2534	3034	1186	917	662	495	177	86	24	40	33	1	0
work---home	6376	6217	1625	948	1552	1916	2290	2387	2456	2482	2189	1982	7756
work---pt interaction	3507	5196	2535	1937	1861	1254	320	36	21	24	37	0	0

average leg duration: 1281.128679267365 seconds = 00:21:21
