pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2413	7708	4160	3311	1876	1448	968	659	406	144	175	25	6
home---secondary	4962	6436	1410	650	547	445	404	422	347	278	213	169	863
home---work	12111	12742	5555	3174	2505	1663	1473	1084	687	602	455	427	1187
pt interaction---home	2349	7639	4247	3334	1858	1345	964	705	419	146	191	24	7
pt interaction---pt interaction	26722	39297	4975	2287	1214	418	273	205	269	166	11	0	0
pt interaction---secondary	2982	3304	1451	865	589	491	187	84	35	40	30	2	0
pt interaction---work	3421	4556	2033	1284	968	727	182	22	12	12	22	0	0
secondary---home	4649	6479	1839	582	502	426	380	417	356	277	218	169	860
secondary---pt interaction	3075	3419	1281	847	592	499	146	90	30	37	34	2	0
work---home	10488	15073	6441	2728	1610	1158	1034	994	1160	914	510	432	1184
work---pt interaction	3546	4477	1914	1253	1057	693	184	11	11	9	23	0	0

average leg duration: 728.9514529361561 seconds = 00:12:08
