pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2643	8003	4013	3010	1673	1212	817	558	327	121	157	27	7
home---secondary	5069	6653	1499	762	592	396	338	346	281	216	169	134	631
home---work	11158	11544	5748	4677	3232	2326	1455	1286	842	562	370	344	912
pt interaction---home	2565	7967	4115	2997	1673	1139	827	586	330	127	167	25	10
pt interaction---pt interaction	25435	35801	4961	2307	1719	556	405	298	149	35	31	4	1
pt interaction---secondary	3101	3414	1435	814	553	461	168	77	35	34	26	2	0
pt interaction---work	3523	4420	1843	1085	815	556	142	13	10	19	22	0	0
secondary---home	4811	6717	1989	631	515	346	316	338	277	221	172	133	622
secondary---pt interaction	3154	3551	1276	794	555	470	139	82	30	36	29	2	0
work---home	10102	14713	7203	3849	2371	1198	927	903	789	671	498	359	911
work---pt interaction	3626	4347	1742	1083	889	538	126	9	11	16	23	0	0

average leg duration: 710.5640240265527 seconds = 00:11:50
