pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1966	6836	4196	3674	2323	1720	1165	871	539	220	221	34	7
home---secondary	4338	5432	1068	481	523	580	576	651	607	541	448	432	2171
home---work	12556	12616	3108	1431	1328	1285	1359	1313	1252	1161	1024	931	3126
pt interaction---home	1915	6761	4299	3668	2294	1629	1172	922	545	225	242	31	11
pt interaction---pt interaction	27767	43519	4964	1425	935	628	435	226	21	2	0	0	0
pt interaction---secondary	2582	2986	1365	924	608	490	201	90	38	40	32	2	0
pt interaction---work	3205	4637	2330	1646	1296	963	224	36	24	25	28	0	0
secondary---home	4095	5344	1415	461	508	591	586	653	610	541	452	428	2161
secondary---pt interaction	2625	3137	1209	906	609	503	166	95	33	39	37	2	0
work---home	10349	13907	3557	1115	1488	1792	1497	1328	1274	1173	1028	932	3110
work---pt interaction	3348	4528	2222	1577	1449	924	214	21	20	20	31	0	0

average leg duration: 885.8024036965376 seconds = 00:14:45
