pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	743	2741	1902	1664	1121	992	629	510	318	125	119	16	8
home---secondary	284	422	330	614	925	1308	1563	1828	1882	1925	1624	1602	9024
home---work	845	1076	791	1283	2320	3118	3724	4164	4557	4516	4025	3857	15615
pt interaction---home	734	2696	1937	1696	1076	928	617	554	333	124	129	13	10
pt interaction---pt interaction	15264	21887	1882	33	2	0	1	0	0	0	0	0	0
pt interaction---secondary	1021	1179	602	412	264	207	96	33	21	20	17	3	0
pt interaction---work	1460	2079	1128	853	736	548	152	22	12	7	16	0	0
secondary---home	319	383	329	614	922	1304	1560	1834	1883	1926	1626	1600	9020
secondary---pt interaction	1103	1231	508	401	269	206	73	35	18	21	18	3	0
work---home	891	994	830	1291	2325	3116	3726	4179	4575	4525	4030	3854	15607
work---pt interaction	1433	2128	1065	803	845	498	147	7	13	6	16	0	0

average leg duration: 2259.5559068045272 seconds = 00:37:39
