pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1338	5168	3344	3119	2004	1720	1174	913	546	221	234	31	7
home---secondary	568	756	381	588	804	1178	1360	1555	1623	1580	1360	1356	7548
home---work	1672	1869	847	1190	2106	2721	3261	3540	3769	3694	3312	3140	12513
pt interaction---home	1324	5140	3386	3128	1985	1607	1174	980	565	219	249	32	9
pt interaction---pt interaction	24120	38584	4546	281	189	163	8	0	1	0	1	0	0
pt interaction---secondary	1772	1989	1017	666	469	355	149	56	21	37	15	3	0
pt interaction---work	2817	4088	2064	1602	1315	1012	265	41	25	17	24	0	0
secondary---home	567	744	400	582	805	1174	1355	1565	1624	1577	1363	1351	7539
secondary---pt interaction	1832	2125	870	651	476	347	118	66	16	38	18	3	0
work---home	1687	1779	911	1197	2117	2713	3267	3554	3801	3686	3313	3144	12496
work---pt interaction	2856	4106	1963	1539	1471	960	255	32	16	16	25	0	0

average leg duration: 1753.8658796648895 seconds = 00:29:13
