pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1778	6322	4040	3677	2356	1825	1220	951	572	241	239	41	8
home---secondary	3966	4967	1012	464	510	613	678	695	736	680	590	534	2808
home---work	11649	11648	2697	1166	1186	1368	1449	1472	1499	1530	1276	1222	4425
pt interaction---home	1752	6269	4110	3668	2324	1719	1229	1010	587	237	263	39	12
pt interaction---pt interaction	27155	43210	5387	1218	820	490	435	123	13	0	1	0	1
pt interaction---secondary	2402	2851	1337	902	588	482	199	85	34	48	23	2	0
pt interaction---work	2977	4490	2346	1686	1426	1046	247	35	22	21	21	0	0
secondary---home	3850	4887	1253	438	505	613	669	694	737	678	587	525	2792
secondary---pt interaction	2442	3010	1178	880	606	502	164	92	27	44	31	2	0
work---home	10258	12346	2857	980	1597	1660	1474	1503	1536	1536	1277	1230	4409
work---pt interaction	3054	4476	2178	1632	1590	992	239	19	20	18	23	0	0

average leg duration: 986.3400780755003 seconds = 00:16:26
