pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2107	7192	4192	3619	2230	1588	1101	794	476	195	196	30	9
home---secondary	4602	5906	1213	524	525	504	535	549	506	420	331	311	1545
home---work	12895	13033	3894	1911	1956	1452	1157	1048	953	965	773	714	2159
pt interaction---home	2074	7107	4278	3637	2200	1492	1100	854	482	198	218	30	10
pt interaction---pt interaction	27667	42344	5012	1817	919	419	361	217	7	0	0	0	0
pt interaction---secondary	2731	3170	1457	908	610	483	189	80	37	43	25	2	0
pt interaction---work	3364	4595	2253	1494	1154	847	205	22	17	20	23	0	0
secondary---home	4416	5792	1589	488	493	495	527	557	514	423	331	303	1535
secondary---pt interaction	2803	3328	1281	864	629	481	161	88	33	43	30	2	0
work---home	10625	15121	4522	1269	1427	1529	1731	1155	977	971	778	714	2148
work---pt interaction	3423	4561	2130	1467	1269	819	201	11	15	18	23	0	0

average leg duration: 804.0235740101633 seconds = 00:13:24
