pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	560	2202	1508	1303	910	817	508	427	234	106	102	16	6
home---secondary	264	353	337	633	921	1344	1608	1867	1956	1989	1696	1673	9387
home---work	778	992	780	1304	2367	3172	3836	4328	4701	4673	4227	3975	16250
pt interaction---home	561	2156	1529	1333	887	761	501	474	251	100	111	12	10
pt interaction---pt interaction	12542	17689	1621	33	0	0	0	0	0	0	0	0	0
pt interaction---secondary	839	998	490	342	209	163	71	17	13	19	15	2	0
pt interaction---work	1186	1642	867	669	586	404	115	17	10	13	12	0	0
secondary---home	276	348	335	626	919	1342	1606	1874	1951	1990	1698	1673	9383
secondary---pt interaction	897	1047	407	333	221	160	54	20	8	18	18	2	0
work---home	780	964	802	1305	2365	3181	3840	4338	4719	4668	4225	3975	16241
work---pt interaction	1185	1686	813	620	655	400	103	7	10	10	12	0	0

average leg duration: 2408.1411283277394 seconds = 00:40:08
