pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1878	6623	4343	4012	2597	2173	1425	1056	662	298	310	45	10
home---secondary	1425	1816	521	509	686	956	1088	1193	1264	1232	1033	1020	5758
home---work	4362	4676	1068	1027	1708	2181	2605	2699	2912	2836	2551	2353	9199
pt interaction---home	1819	6614	4386	4026	2564	2049	1405	1126	703	283	339	45	12
pt interaction---pt interaction	28541	47722	6118	1353	757	835	357	161	130	167	105	96	49
pt interaction---secondary	2325	2704	1290	878	619	474	220	87	35	46	26	1	0
pt interaction---work	3482	5191	2677	2010	1663	1250	305	60	27	25	37	0	0
secondary---home	1399	1752	624	508	682	954	1078	1199	1264	1232	1037	1013	5744
secondary---pt interaction	2439	2837	1110	840	640	478	174	93	30	46	32	1	0
work---home	4505	4259	1326	1036	1731	2193	2606	2711	2945	2854	2555	2352	9180
work---pt interaction	3577	5189	2483	1921	1864	1185	314	43	13	24	38	0	0

average leg duration: 1401.5310169147451 seconds = 00:23:21
