pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1236	4612	3109	2842	1851	1604	1093	831	509	217	211	31	3
home---secondary	495	586	330	594	843	1194	1431	1634	1687	1667	1399	1390	7906
home---work	1402	1597	834	1216	2138	2792	3375	3657	3960	3906	3475	3282	13171
pt interaction---home	1235	4597	3124	2876	1823	1498	1088	891	517	213	233	28	4
pt interaction---pt interaction	22814	35952	3578	64	3	1	1	1	2	0	0	1	1
pt interaction---secondary	1596	1898	929	635	410	318	146	42	18	32	24	2	0
pt interaction---work	2562	3745	1893	1501	1164	908	233	37	20	19	17	0	0
secondary---home	457	587	368	593	839	1198	1422	1644	1689	1667	1403	1382	7899
secondary---pt interaction	1674	1992	802	612	423	307	127	44	14	36	25	2	0
work---home	1424	1505	895	1219	2146	2788	3379	3674	3983	3906	3471	3277	13168
work---pt interaction	2588	3758	1784	1450	1341	855	219	25	14	17	18	0	0

average leg duration: 1842.6033366552522 seconds = 00:30:42
