pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	852	3150	2101	1941	1277	1140	745	606	358	150	140	21	4
home---secondary	325	463	330	615	883	1281	1541	1774	1851	1894	1585	1540	8808
home---work	928	1167	770	1253	2295	3043	3685	4094	4409	4426	3936	3720	15009
pt interaction---home	849	3113	2140	1961	1265	1062	743	657	370	143	154	22	7
pt interaction---pt interaction	17344	24913	2200	46	2	0	0	0	1	0	1	0	0
pt interaction---secondary	1122	1384	651	452	286	219	102	41	17	24	16	2	0
pt interaction---work	1691	2521	1291	997	820	608	175	24	9	14	19	0	0
secondary---home	347	415	351	618	879	1281	1539	1778	1855	1893	1585	1539	8800
secondary---pt interaction	1190	1452	551	436	290	216	89	44	14	25	17	2	0
work---home	992	1047	826	1256	2296	3043	3689	4100	4420	4422	3936	3717	15000
work---pt interaction	1771	2497	1195	969	930	571	175	12	7	13	20	0	0

average leg duration: 2153.983197166152 seconds = 00:35:53
