pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1498	5239	3353	3091	1997	1559	980	779	482	178	189	36	9
home---secondary	4775	5646	1324	546	602	613	626	581	575	513	407	402	2179
home---work	9728	10702	4547	3083	2620	2330	1854	1678	1783	1813	1310	1087	3396
pt interaction---home	1464	5181	3385	3111	1994	1460	989	829	498	181	210	34	13
pt interaction---pt interaction	19595	31483	4320	2336	1500	976	930	766	808	718	506	638	1965
pt interaction---secondary	2219	2653	1303	836	591	450	193	71	34	44	21	2	0
pt interaction---work	2266	3369	1768	1321	1116	863	190	29	12	16	23	0	0
secondary---home	4737	5750	1615	501	489	521	548	563	554	496	416	386	2195
secondary---pt interaction	2325	2770	1126	822	599	468	147	79	28	43	26	2	0
work---home	8387	9305	4754	2811	2717	1983	1984	1814	1750	1671	1782	1375	5657
work---pt interaction	2298	3363	1672	1280	1242	807	186	20	10	13	23	0	0

average leg duration: 1103.4944570383911 seconds = 00:18:23
