pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2537	8001	3981	3026	1753	1232	884	579	344	128	158	20	8
home---secondary	5077	6676	1456	758	586	386	323	345	323	219	174	159	690
home---work	11510	12583	6046	3897	3000	1838	1266	1169	780	510	357	374	957
pt interaction---home	2463	7936	4076	3044	1730	1160	886	629	350	130	173	20	10
pt interaction---pt interaction	25394	37108	4791	2338	1393	538	365	196	239	132	25	15	0
pt interaction---secondary	3038	3372	1442	826	549	449	185	73	34	36	28	2	0
pt interaction---work	3447	4460	1863	1169	846	620	148	16	11	18	19	0	0
secondary---home	4826	6706	1911	629	532	362	298	342	323	222	179	160	685
secondary---pt interaction	3107	3502	1277	808	549	457	152	83	28	35	31	2	0
work---home	10270	15018	7030	3481	2175	1065	839	792	868	864	524	448	954
work---pt interaction	3572	4351	1765	1161	948	582	143	8	14	12	20	0	0

average leg duration: 710.0021467630729 seconds = 00:11:50
