pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1754	6515	4310	3904	2608	2191	1384	1088	638	292	262	51	9
home---secondary	1175	1533	490	521	718	1003	1120	1250	1323	1301	1075	1089	6104
home---work	3582	3906	1004	1086	1805	2281	2694	2878	3048	3050	2718	2483	9867
pt interaction---home	1730	6475	4349	3932	2557	2079	1386	1150	673	287	292	49	12
pt interaction---pt interaction	28489	46806	6162	1158	758	729	250	131	146	174	95	36	3
pt interaction---secondary	2258	2648	1262	883	609	453	212	84	29	42	23	1	0
pt interaction---work	3434	5044	2658	1986	1607	1321	305	49	35	31	32	0	0
secondary---home	1236	1431	538	515	716	1000	1107	1251	1328	1296	1078	1087	6086
secondary---pt interaction	2370	2796	1071	849	627	461	179	92	21	42	28	1	0
work---home	3729	3572	1186	1091	1822	2282	2706	2908	3068	3052	2725	2479	9850
work---pt interaction	3488	5076	2462	1948	1795	1238	308	32	23	29	35	0	0

average leg duration: 1457.7127046124815 seconds = 00:24:17
