pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1316	4778	3204	2919	1910	1617	1138	844	515	218	209	29	6
home---secondary	474	645	340	572	853	1203	1424	1611	1662	1636	1402	1362	7807
home---work	1408	1626	844	1210	2121	2785	3347	3634	3872	3884	3437	3261	12987
pt interaction---home	1316	4747	3229	2958	1871	1510	1131	890	535	220	227	28	7
pt interaction---pt interaction	23663	37047	3737	185	15	1	2	0	1	0	0	1	0
pt interaction---secondary	1648	1941	948	622	448	331	148	49	24	38	16	2	0
pt interaction---work	2636	3872	1946	1506	1214	963	249	41	21	17	23	0	0
secondary---home	463	615	385	570	852	1206	1416	1619	1667	1637	1406	1357	7798
secondary---pt interaction	1705	2056	811	602	454	322	132	54	18	40	19	2	0
work---home	1458	1515	899	1217	2128	2780	3345	3648	3905	3882	3435	3258	12980
work---pt interaction	2667	3876	1835	1457	1398	898	237	30	16	17	23	0	0

average leg duration: 1813.353676677373 seconds = 00:30:13
