pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1013	3809	2553	2321	1486	1322	897	689	414	171	165	28	8
home---secondary	345	475	341	607	873	1240	1494	1708	1786	1817	1506	1508	8451
home---work	1073	1325	797	1247	2235	2958	3549	3884	4226	4212	3759	3526	14292
pt interaction---home	1008	3751	2582	2355	1478	1201	908	754	429	168	180	26	10
pt interaction---pt interaction	20104	29484	2576	60	6	1	3	0	0	0	1	1	0
pt interaction---secondary	1337	1583	781	527	349	264	110	39	18	24	20	3	0
pt interaction---work	2073	3071	1550	1196	932	717	191	24	21	22	24	0	0
secondary---home	337	460	365	609	872	1238	1494	1713	1787	1815	1512	1506	8448
secondary---pt interaction	1406	1652	662	519	362	257	86	43	14	25	21	3	0
work---home	1100	1250	845	1262	2244	2946	3553	3895	4242	4203	3754	3530	14279
work---pt interaction	2092	3097	1478	1129	1087	660	180	17	17	18	26	0	0

average leg duration: 2014.2352287534675 seconds = 00:33:34
