pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2602	8024	3928	3071	1730	1257	880	568	349	124	149	25	9
home---secondary	5045	6603	1494	755	588	394	327	346	303	239	164	154	664
home---work	11343	12047	5973	4059	3121	2022	1528	1102	923	535	370	348	947
pt interaction---home	2531	7944	4062	3046	1730	1186	875	607	352	125	165	24	11
pt interaction---pt interaction	25650	36526	4696	2435	1794	656	362	161	236	124	45	8	1
pt interaction---secondary	3100	3362	1451	819	571	456	194	77	33	37	28	2	0
pt interaction---work	3466	4446	1871	1126	846	617	151	11	17	14	21	0	0
secondary---home	4819	6679	1911	647	525	352	302	342	298	234	171	154	660
secondary---pt interaction	3179	3465	1283	805	571	467	161	85	27	36	31	2	0
work---home	10155	14790	6988	3807	2199	1144	837	793	859	854	553	427	951
work---pt interaction	3575	4372	1756	1127	944	571	145	11	15	9	22	0	0

average leg duration: 714.6645056726094 seconds = 00:11:54
