pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	918	3427	2307	2114	1401	1232	792	629	371	149	162	36	4
home---secondary	306	436	323	619	891	1270	1529	1766	1838	1841	1523	1526	8708
home---work	981	1248	783	1265	2271	3000	3599	4009	4344	4307	3834	3615	14736
pt interaction---home	942	3390	2307	2151	1385	1146	789	673	382	145	175	33	7
pt interaction---pt interaction	18546	26643	2317	57	3	0	0	0	0	0	1	0	0
pt interaction---secondary	1207	1447	715	487	333	241	109	32	17	23	16	3	0
pt interaction---work	1906	2743	1383	1088	864	666	184	27	16	14	21	0	0
secondary---home	301	430	336	615	893	1269	1521	1772	1839	1839	1524	1525	8702
secondary---pt interaction	1295	1486	627	479	327	246	88	35	12	25	17	3	0
work---home	1040	1129	843	1269	2273	3005	3598	4016	4366	4302	3834	3617	14727
work---pt interaction	1899	2764	1341	1038	997	611	168	21	11	13	22	0	0

average leg duration: 2094.8273118828597 seconds = 00:34:54
