pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	966	3766	2460	2233	1463	1306	867	654	374	165	178	29	7
home---secondary	342	483	327	614	875	1268	1496	1724	1796	1823	1496	1480	8577
home---work	1074	1258	805	1246	2237	2979	3553	3909	4246	4219	3817	3574	14424
pt interaction---home	977	3709	2502	2257	1447	1200	854	714	391	165	186	28	9
pt interaction---pt interaction	19721	28700	2502	60	3	1	0	0	0	0	1	1	0
pt interaction---secondary	1315	1530	782	498	336	241	104	38	16	24	18	3	0
pt interaction---work	2019	2978	1534	1133	927	689	199	28	20	16	20	0	0
secondary---home	320	469	368	611	874	1269	1491	1732	1798	1820	1499	1480	8571
secondary---pt interaction	1385	1597	672	492	339	236	82	41	12	26	19	3	0
work---home	1114	1188	836	1254	2248	2965	3564	3912	4260	4220	3815	3578	14414
work---pt interaction	2023	3010	1467	1060	1075	639	193	20	14	13	22	0	0

average leg duration: 2037.2799214883362 seconds = 00:33:57
