pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	959	3414	2135	1938	1295	1026	652	458	310	118	113	19	2
home---secondary	5457	6359	1399	571	607	613	680	706	706	672	545	500	2985
home---work	11264	12473	4495	3244	2857	2133	1752	1689	1949	1844	1350	1198	3623
pt interaction---home	939	3366	2179	1981	1274	937	651	492	317	122	123	21	2
pt interaction---pt interaction	14127	20233	2313	1172	743	650	524	356	240	249	356	89	665
pt interaction---secondary	1447	1698	838	504	380	292	129	53	23	28	13	1	0
pt interaction---work	1437	2160	1145	846	734	528	127	17	13	11	15	0	0
secondary---home	5395	6489	1721	495	490	568	597	679	678	669	540	499	2975
secondary---pt interaction	1494	1777	740	487	383	312	101	56	19	25	16	1	0
work---home	9731	11545	5755	3276	2729	1925	1867	1540	1681	1771	1663	1505	4923
work---pt interaction	1429	2178	1092	810	823	487	129	10	11	9	15	0	0

average leg duration: 1152.1469971888578 seconds = 00:19:12
