pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	426	1647	1084	1038	687	598	394	340	177	79	66	13	5
home---secondary	257	374	301	627	926	1352	1645	1929	2010	2058	1750	1727	9671
home---work	727	1040	774	1309	2407	3247	3963	4430	4832	4855	4329	4113	16903
pt interaction---home	415	1648	1089	1019	679	555	384	379	194	78	68	10	8
pt interaction---pt interaction	9585	13943	1274	33	2	1	0	0	0	0	0	0	0
pt interaction---secondary	668	804	400	277	182	126	60	20	12	15	12	3	0
pt interaction---work	832	1215	651	458	411	298	74	16	8	6	6	0	0
secondary---home	252	343	338	628	925	1354	1645	1932	2010	2059	1750	1725	9668
secondary---pt interaction	703	852	345	260	187	121	48	18	11	15	14	3	0
work---home	816	907	818	1317	2414	3247	3963	4436	4840	4856	4322	4116	16901
work---pt interaction	835	1213	602	442	474	281	78	7	8	5	6	0	0

average leg duration: 2565.754606137636 seconds = 00:42:45
