pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1551	5450	3515	3275	2061	1640	1075	809	511	204	204	38	6
home---secondary	4535	5442	1250	512	525	618	631	612	627	567	465	507	2491
home---work	11271	10609	4303	2650	1874	1978	2089	1564	1607	1300	996	996	3752
pt interaction---home	1536	5379	3580	3290	2043	1538	1083	858	521	204	223	37	8
pt interaction---pt interaction	22266	34839	4836	1950	1444	893	473	405	404	544	324	315	956
pt interaction---secondary	2257	2634	1306	795	607	452	200	72	37	39	23	2	0
pt interaction---work	2421	3675	1954	1416	1214	952	196	31	18	13	25	0	0
secondary---home	4498	5448	1498	468	463	548	571	607	639	571	464	496	2487
secondary---pt interaction	2357	2768	1126	786	607	465	160	78	31	40	28	2	0
work---home	9381	11142	5107	2253	1732	1650	1674	1770	2112	1379	1068	1097	4687
work---pt interaction	2468	3656	1837	1395	1360	879	188	20	12	12	25	0	0

average leg duration: 1030.6746951613598 seconds = 00:17:10
