pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1917	6914	4226	3588	2326	1739	1191	828	526	207	222	37	10
home---secondary	4428	5483	1126	501	535	557	580	645	591	510	398	393	1979
home---work	12696	12689	3303	1633	1508	1339	1308	1255	1187	1112	943	848	2832
pt interaction---home	1876	6871	4293	3573	2279	1643	1205	891	540	215	242	36	13
pt interaction---pt interaction	27498	42895	4901	1783	912	555	499	206	5	1	0	0	1
pt interaction---secondary	2658	3039	1401	894	624	473	197	89	39	38	26	2	0
pt interaction---work	3279	4559	2278	1614	1265	925	228	30	21	19	33	0	0
secondary---home	4163	5421	1485	479	509	574	584	644	594	512	400	389	1966
secondary---pt interaction	2712	3207	1217	880	619	487	169	92	34	37	30	2	0
work---home	10254	14143	4039	1171	1486	1721	1658	1297	1213	1123	947	848	2813
work---pt interaction	3353	4520	2154	1563	1408	889	217	20	17	14	36	0	0

average leg duration: 865.0859287041684 seconds = 00:14:25
